timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603441823,267,200,Grupo de Usuários 1-12,text,259,1,0,0,0
1686603441634,470,200,Grupo de Usuários 1-106,text,456,1,0,0,0
1686603441791,339,200,Grupo de Usuários 1-162,text,333,1,0,0,0
1686603441861,279,200,Grupo de Usuários 1-14,text,269,1,0,0,0
1686603441894,282,200,Grupo de Usuários 1-130,text,261,1,0,0,0
1686603441273,970,200,Grupo de Usuários 1-145,text,960,1,0,0,561
1686603441828,405,200,Grupo de Usuários 1-128,text,386,1,0,0,0
1686603441417,859,200,Grupo de Usuários 1-146,text,859,1,0,0,506
1686603441900,388,200,Grupo de Usuários 1-16,text,380,1,0,0,0
1686603441842,453,200,Grupo de Usuários 1-129,text,434,1,0,0,0
1686603441997,304,200,Grupo de Usuários 1-104,text,291,1,0,0,0
1686603441719,597,200,Grupo de Usuários 1-149,text,582,1,0,0,336
1686603442100,263,200,Grupo de Usuários 1-164,text,257,1,0,0,0
1686603442157,281,200,Grupo de Usuários 1-165,text,274,1,0,0,0
1686603441920,532,200,Grupo de Usuários 1-7,text,525,1,0,0,0
1686603442173,284,200,Grupo de Usuários 1-110,text,271,1,0,0,0
1686603442188,269,200,Grupo de Usuários 1-109,text,256,1,0,0,0
1686603442287,265,200,Grupo de Usuários 1-11,text,258,1,0,0,0
1686603442281,285,200,Grupo de Usuários 1-13,text,279,1,0,0,0
1686603441943,630,200,Grupo de Usuários 1-152,text,617,1,0,0,345
1686603441894,679,200,Grupo de Usuários 1-151,text,666,1,0,0,313
1686603442303,286,200,Grupo de Usuários 1-166,text,270,1,0,0,0
1686603442362,294,200,Grupo de Usuários 1-112,text,275,1,0,0,0
1686603442340,330,200,Grupo de Usuários 1-163,text,329,1,0,0,0
1686603442427,323,200,Grupo de Usuários 1-131,text,301,1,0,0,0
1686603441992,744,200,Grupo de Usuários 1-150,text,730,1,0,0,344
1686603442371,357,200,Grupo de Usuários 1-111,text,347,1,0,0,0
1686603442343,375,200,Grupo de Usuários 1-17,text,375,1,0,0,0
1686603442368,350,200,Grupo de Usuários 1-116,text,350,1,0,0,0
1686603442303,415,200,Grupo de Usuários 1-15,text,375,1,0,0,0
1686603441934,750,200,Grupo de Usuários 1-148,text,736,1,0,0,354
1686603442642,285,200,Grupo de Usuários 1-169,text,276,1,0,0,0
1686603442391,634,200,Grupo de Usuários 1-154,text,621,1,0,0,327
1686603442704,333,200,Grupo de Usuários 1-113,text,320,1,0,0,0
1686603442691,347,200,Grupo de Usuários 1-132,text,327,1,0,0,0
1686603442708,329,200,Grupo de Usuários 1-19,text,316,1,0,0,0
1686603442802,299,200,Grupo de Usuários 1-168,text,284,1,0,0,0
1686603442902,274,200,Grupo de Usuários 1-21,text,267,1,0,0,0
1686603442846,430,200,Grupo de Usuários 1-119,text,415,1,0,0,0
1686603442856,420,200,Grupo de Usuários 1-18,text,405,1,0,0,0
1686603442876,391,200,Grupo de Usuários 1-22,text,385,1,0,0,0
1686603442966,278,200,Grupo de Usuários 1-121,text,264,1,0,0,0
1686603442960,283,200,Grupo de Usuários 1-134,text,270,1,0,0,0
1686603442888,336,200,Grupo de Usuários 1-114,text,323,1,0,0,0
1686603442938,280,200,Grupo de Usuários 1-115,text,267,1,0,0,0
1686603442794,417,200,Grupo de Usuários 1-135,text,397,1,0,0,0
1686603442884,321,200,Grupo de Usuários 1-138,text,299,1,0,0,0
1686603442647,662,200,Grupo de Usuários 1-158,text,648,1,0,0,310
1686603442853,513,200,Grupo de Usuários 1-117,text,501,1,0,0,0
1686603443084,298,200,Grupo de Usuários 1-25,text,290,1,0,0,0
1686603443052,336,200,Grupo de Usuários 1-20,text,322,1,0,0,0
1686603443120,274,200,Grupo de Usuários 1-171,text,262,1,0,0,0
1686603443056,338,200,Grupo de Usuários 1-167,text,332,1,0,0,0
1686603443134,330,200,Grupo de Usuários 1-133,text,310,1,0,0,0
1686603443156,322,200,Grupo de Usuários 1-172,text,316,1,0,0,0
1686603442559,929,200,Grupo de Usuários 1-153,text,914,1,0,0,672
1686603443278,265,200,Grupo de Usuários 1-24,text,251,1,0,0,0
1686603443280,283,200,Grupo de Usuários 1-173,text,278,1,0,0,0
1686603443315,264,200,Grupo de Usuários 1-175,text,255,1,0,0,0
1686603442983,611,200,Grupo de Usuários 1-156,text,596,1,0,0,311
1686603443339,289,200,Grupo de Usuários 1-170,text,276,1,0,0,0
1686603443331,297,200,Grupo de Usuários 1-124,text,284,1,0,0,0
1686603443156,595,200,Grupo de Usuários 1-159,text,588,1,0,0,316
1686603443067,661,200,Grupo de Usuários 1-155,text,654,1,0,0,315
1686603443338,376,200,Grupo de Usuários 1-141,text,355,1,0,0,0
1686603443322,371,200,Grupo de Usuários 1-136,text,355,1,0,0,0
1686603443348,438,200,Grupo de Usuários 1-137,text,414,1,0,0,0
1686603443331,455,200,Grupo de Usuários 1-140,text,431,1,0,0,0
1686603443073,727,200,Grupo de Usuários 1-161,text,720,1,0,0,309
1686603443515,338,200,Grupo de Usuários 1-23,text,323,1,0,0,0
1686603443571,297,200,Grupo de Usuários 1-27,text,282,1,0,0,0
1686603443545,331,200,Grupo de Usuários 1-176,text,323,1,0,0,0
1686603443277,625,200,Grupo de Usuários 1-162,text,611,1,0,0,309
1686603443227,681,200,Grupo de Usuários 1-160,text,668,1,0,0,309
1686603443546,369,200,Grupo de Usuários 1-122,text,356,1,0,0,0
1686603443535,405,200,Grupo de Usuários 1-139,text,389,1,0,0,0
1686603443559,381,200,Grupo de Usuários 1-120,text,365,1,0,0,0
1686603443655,321,200,Grupo de Usuários 1-178,text,315,1,0,0,0
1686603443770,261,200,Grupo de Usuários 1-174,text,251,1,0,0,0
1686603443509,661,200,Grupo de Usuários 1-164,text,661,1,0,0,309
1686603443844,326,200,Grupo de Usuários 1-28,text,326,1,0,0,0
1686603443860,310,200,Grupo de Usuários 1-126,text,310,1,0,0,0
1686603443816,354,200,Grupo de Usuários 1-147,text,354,1,0,0,0
1686603443813,358,200,Grupo de Usuários 1-123,text,358,1,0,0,0
1686603443824,352,200,Grupo de Usuários 1-143,text,346,1,0,0,0
1686603444003,272,200,Grupo de Usuários 1-26,text,260,1,0,0,0
1686603443899,376,200,Grupo de Usuários 1-142,text,356,1,0,0,0
1686603443979,269,200,Grupo de Usuários 1-125,text,257,1,0,0,0
1686603443117,1131,200,Grupo de Usuários 1-157,text,1119,1,0,0,844
1686603443931,305,200,Grupo de Usuários 1-30,text,299,1,0,0,0
1686603443812,384,200,Grupo de Usuários 1-144,text,364,1,0,0,0
1686603443610,573,200,Grupo de Usuários 1-165,text,560,1,0,0,321
1686603443756,537,200,Grupo de Usuários 1-177,text,275,1,0,0,0
1686603443779,520,200,Grupo de Usuários 1-127,text,252,1,0,0,0
1686603444090,264,200,Grupo de Usuários 1-179,text,257,1,0,0,0
1686603444125,266,200,Grupo de Usuários 1-183,text,260,1,0,0,0
1686603443774,686,200,Grupo de Usuários 1-166,text,679,1,0,0,396
1686603444056,412,200,Grupo de Usuários 1-118,text,397,1,0,0,0
1686603444036,460,200,Grupo de Usuários 1-180,text,454,1,0,0,0
1686603444293,324,200,Grupo de Usuários 1-36,text,311,1,0,0,0
1686603444339,285,200,Grupo de Usuários 1-145,text,265,1,0,0,0
1686603443778,846,200,Grupo de Usuários 1-163,text,833,1,0,0,392
1686603444335,314,200,Grupo de Usuários 1-29,text,307,1,0,0,0
1686603444278,372,200,Grupo de Usuários 1-146,text,346,1,0,0,0
1686603444403,271,200,Grupo de Usuários 1-149,text,254,1,0,0,0
1686603444199,550,200,Grupo de Usuários 1-130,text,542,1,0,0,0
1686603444366,383,200,Grupo de Usuários 1-32,text,375,1,0,0,0
1686603444346,368,200,Grupo de Usuários 1-181,text,354,1,0,0,0
1686603444386,304,200,Grupo de Usuários 1-182,text,298,1,0,0,0
1686603444107,672,200,Grupo de Usuários 1-169,text,665,1,0,0,361
1686603444261,548,200,Grupo de Usuários 1-128,text,542,1,0,0,0
