timeStamp,elapsed,label,responseCode,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686604083132,1510,Blazedemo,200,text,1509,1,0,0,500
1686604083517,1125,Blazedemo,200,text,1124,1,0,0,351
1686604083518,1124,Blazedemo,200,text,1123,1,0,0,351
1686604083524,1118,Blazedemo,200,text,1117,1,0,0,381
1686604083014,1628,Blazedemo,200,text,1627,1,0,0,396
1686604083583,1058,Blazedemo,200,text,1057,1,0,0,347
1686604083524,1118,Blazedemo,200,text,1117,1,0,0,381
1686604083301,1345,Blazedemo,200,text,1341,1,0,0,410
1686604083443,1203,Blazedemo,200,text,1199,1,0,0,425
1686604083520,1135,Blazedemo,200,text,1122,1,0,0,349
1686604083592,1064,Blazedemo,200,text,1054,1,0,0,367
1686604083593,1137,Blazedemo,200,text,1137,1,0,0,365
1686604083583,1148,Blazedemo,200,text,1148,1,0,0,355
1686604083514,1218,Blazedemo,200,text,1217,1,0,0,355
1686604083581,1150,Blazedemo,200,text,1149,1,0,0,337
1686604083592,1139,Blazedemo,200,text,1138,1,0,0,378
1686604083030,1702,Blazedemo,200,text,1702,1,0,0,391
1686604083586,1146,Blazedemo,200,text,1146,1,0,0,819
1686604082760,1972,Blazedemo,200,text,1972,1,0,0,550
1686604082949,1790,Blazedemo,200,text,1783,1,0,0,418
1686604082958,1787,Blazedemo,200,text,1774,1,0,0,414
1686604083582,1163,Blazedemo,200,text,1150,1,0,0,330
1686604083593,1157,Blazedemo,200,text,1145,1,0,0,365
1686604083434,1325,Blazedemo,200,text,1317,1,0,0,906
1686604082959,1800,Blazedemo,200,text,1793,1,0,0,406
1686604083585,1180,Blazedemo,200,text,1167,1,0,0,821
1686604083132,1653,Blazedemo,200,text,1620,1,0,0,500
1686604082956,1831,Blazedemo,200,text,1809,1,0,0,411
1686604083590,1196,Blazedemo,200,text,1174,1,0,0,360
1686604083436,1351,Blazedemo,200,text,1329,1,0,0,385
1686604082952,1835,Blazedemo,200,text,1641,1,0,0,355
1686604083016,1771,Blazedemo,200,text,1577,1,0,0,397
1686604083134,1653,Blazedemo,200,text,1384,1,0,0,498
1686604082395,2392,Blazedemo,200,text,2390,1,0,0,977
1686604083437,1355,Blazedemo,200,text,1081,1,0,0,403
1686604082629,2163,Blazedemo,200,text,1889,1,0,0,742
1686604083012,1795,Blazedemo,200,text,1788,1,0,0,378
1686604083438,1405,Blazedemo,200,text,1349,1,0,0,410
1686604083020,1823,Blazedemo,200,text,1767,1,0,0,401
1686604083127,1716,Blazedemo,200,text,1665,1,0,0,476
1686604082959,1885,Blazedemo,200,text,1885,1,0,0,403
1686604083313,1531,Blazedemo,200,text,1530,1,0,0,397
1686604083437,1412,Blazedemo,200,text,1407,1,0,0,475
1686604083571,1294,Blazedemo,200,text,1278,1,0,0,336
1686604083110,1755,Blazedemo,200,text,1477,1,0,0,402
1686604083438,1427,Blazedemo,200,text,1149,1,0,0,395
1686604083582,1294,Blazedemo,200,text,1072,1,0,0,349
1686604083593,1284,Blazedemo,200,text,1062,1,0,0,378
1686604083581,1296,Blazedemo,200,text,1074,1,0,0,350
1686604082883,2001,Blazedemo,200,text,2001,1,0,0,383
1686604083586,1314,Blazedemo,200,text,1313,1,0,0,352
1686604083525,1396,Blazedemo,200,text,1000,1,0,0,380
1686604082954,1967,Blazedemo,200,text,1571,1,0,0,355
1686604083587,1333,Blazedemo,200,text,937,1,0,0,358
1686604083117,1804,Blazedemo,200,text,1408,1,0,0,435
1686604083581,1340,Blazedemo,200,text,1333,1,0,0,338
1686604082959,1997,Blazedemo,200,text,1975,1,0,0,406
1686604083590,1366,Blazedemo,200,text,1364,1,0,0,361
1686604083581,1374,Blazedemo,200,text,1372,1,0,0,337
1686604083590,1365,Blazedemo,200,text,1055,1,0,0,355
1686604083021,1935,Blazedemo,200,text,1933,1,0,0,409
1686604083521,1433,Blazedemo,200,text,1414,1,0,0,349
1686604083584,1370,Blazedemo,200,text,1337,1,0,0,335
1686604082630,2324,Blazedemo,200,text,2285,1,0,0,742
1686604083526,1409,Blazedemo,200,text,1381,1,0,0,379
1686604083017,1918,Blazedemo,200,text,1890,1,0,0,403
1686604082614,2321,Blazedemo,200,text,2301,1,0,0,758
1686604083438,1545,Blazedemo,200,text,1497,1,0,0,401
1686604083591,1391,Blazedemo,200,text,1391,1,0,0,367
1686604083014,1997,Blazedemo,200,text,1982,1,0,0,396
1686604082964,2054,Blazedemo,200,text,1629,1,0,0,407
1686604083581,1451,Blazedemo,200,text,1437,1,0,0,331
1686604083525,1547,Blazedemo,200,text,1507,1,0,0,379
1686604083586,1486,Blazedemo,200,text,1440,1,0,0,345
1686604083583,1489,Blazedemo,200,text,1488,1,0,0,348
1686604083302,1774,Blazedemo,200,text,1770,1,0,0,409
1686604083517,1559,Blazedemo,200,text,1556,1,0,0,387
1686604083590,1487,Blazedemo,200,text,1486,1,0,0,348
1686604082968,2118,Blazedemo,200,text,2112,1,0,0,403
1686604083522,1577,Blazedemo,200,text,1564,1,0,0,383
1686604083589,1510,Blazedemo,200,text,1065,1,0,0,361
1686604083586,1519,Blazedemo,200,text,1507,1,0,0,351
1686604082954,2152,Blazedemo,200,text,2140,1,0,0,415
1686604083582,1523,Blazedemo,200,text,1516,1,0,0,349
1686604083589,1516,Blazedemo,200,text,1509,1,0,0,361
1686604083035,2083,Blazedemo,200,text,2071,1,0,0,395
1686604083017,2105,Blazedemo,200,text,2100,1,0,0,404
1686604082967,2155,Blazedemo,200,text,2139,1,0,0,453
1686604083587,1542,Blazedemo,200,text,1534,1,0,0,383
1686604083594,1551,Blazedemo,200,text,1536,1,0,0,417
1686604083522,1640,Blazedemo,200,text,1634,1,0,0,489
1686604083017,2159,Blazedemo,200,text,2145,1,0,0,396
1686604083015,2161,Blazedemo,200,text,2153,1,0,0,405
1686604083440,1736,Blazedemo,200,text,1722,1,0,0,408
